City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,zambezi,-13.54,23.1,68.97,65,100,3.89,ZM,1585693009
274,nara,34.69,135.8,59.0,82,75,16.11,JP,1585693009
275,kenai,60.55,-151.26,28.99,58,1,3.36,US,1585692806
276,necochea,-38.55,-58.74,62.01,69,77,1.99,AR,1585693009
277,yanam,16.73,82.22,78.89,81,1,3.98,IN,1585693009
278,hella,67.2,14.43,35.6,74,40,21.92,NO,1585693010
279,bambari,5.77,20.68,82.06,47,9,3.11,CF,1585693010
280,bossangoa,6.49,17.46,78.17,50,17,4.12,CF,1585692913
281,staraya poltavka,50.48,46.48,47.08,69,0,15.35,RU,1585693010
282,chimbarongo,-34.7,-71.05,80.6,27,22,11.41,CL,1585693011
283,umea,63.83,20.26,35.6,59,0,19.46,SE,1585693011
284,desaguadero,-16.57,-69.04,51.44,23,53,9.69,PE,1585693011
285,atar,20.52,-13.05,86.13,23,100,7.18,MR,1585693011
286,mizan teferi,6.98,35.58,65.37,57,52,3.15,ET,1585693012
287,capao bonito,-24.01,-48.35,71.44,64,0,5.26,BR,1585693012
288,juterbog,51.98,13.08,36.0,73,0,1.12,DE,1585693012
289,narsaq,60.92,-46.05,33.8,69,20,3.36,GL,1585693013
290,am timan,11.03,20.28,84.61,13,7,4.05,TD,1585693013
291,acapulco,16.86,-99.89,86.0,74,40,9.17,MX,1585692969
292,cherskiy,68.75,161.3,-2.06,91,80,8.99,RU,1585693013
293,portland,45.52,-122.68,54.0,70,90,4.7,US,1585692618
294,yerbogachen,61.28,108.01,16.32,94,100,5.59,RU,1585692728
295,provideniya,64.38,-173.3,24.8,79,75,2.24,RU,1585693014
296,ardmore,34.17,-97.14,66.99,42,1,3.36,US,1585693014
297,serro,-18.6,-43.38,70.05,71,43,3.38,BR,1585693015
298,dikson,73.51,80.55,-2.52,93,100,6.62,RU,1585693015
299,port hardy,50.7,-127.42,46.4,65,75,13.87,CA,1585692905
300,kiama,-34.68,150.87,71.01,100,75,3.36,AU,1585693016
301,puquio,-14.7,-74.13,57.56,27,87,5.26,PE,1585693016
302,lufilufi,-13.87,-171.6,86.0,74,70,9.24,WS,1585693016
303,hay river,60.82,-115.8,-4.0,58,20,5.82,CA,1585692852
304,mahebourg,-20.41,57.7,78.01,94,75,8.52,MU,1585693017
305,antofagasta,-23.65,-70.4,68.0,68,75,10.29,CL,1585693017
306,nagato,34.38,131.2,55.99,93,90,1.12,JP,1585693017
307,deputatskiy,69.3,139.9,-10.3,82,4,1.9,RU,1585693017
308,gezing,47.92,13.13,33.01,88,40,1.12,AT,1585693017
309,stornoway,58.21,-6.39,42.8,81,100,12.75,GB,1585693018
310,khovu-aksy,51.13,93.6,12.34,76,0,7.63,RU,1585693018
311,krasnoselkup,65.7,82.47,6.93,94,18,9.42,RU,1585693018
312,ketchikan,55.34,-131.65,42.8,38,20,11.41,US,1585692782
313,sambava,-14.27,50.17,78.15,87,95,3.13,MG,1585693018
314,stephenville,32.22,-98.2,68.0,52,1,8.05,US,1585693019
315,debar,41.52,20.53,51.8,62,75,4.7,MK,1585692957
316,mezen,65.85,44.24,17.91,95,100,7.09,RU,1585693019
317,asau,46.43,26.4,30.2,54,35,4.7,RO,1585693019
318,willowmore,-33.29,23.49,54.88,55,6,7.38,ZA,1585693019
319,madingou,-4.15,13.55,76.57,81,48,0.87,CG,1585693020
320,paracuru,-3.41,-39.03,82.0,88,75,4.7,BR,1585693020
321,clyde river,70.47,-68.59,3.2,71,90,17.22,CA,1585693021
322,nhulunbuy,-12.23,136.77,78.8,94,97,8.95,AU,1585693021
323,kefamenanu,-9.45,124.48,70.36,80,99,2.37,ID,1585693021
324,roquetas de mar,36.76,-2.61,60.8,87,40,6.93,ES,1585693022
325,carutapera,-1.2,-46.02,80.91,83,100,5.1,BR,1585693022
326,lasa,46.62,10.7,44.6,62,5,5.82,IT,1585693022
327,halifax,44.65,-63.57,34.0,86,90,13.87,CA,1585693022
328,minab,27.15,57.08,64.4,93,0,4.7,IR,1585693023
329,cabangahan,9.08,122.95,82.4,69,75,4.7,PH,1585693023
330,yakeshi,49.28,120.73,21.99,86,0,11.65,CN,1585693024
331,camacha,33.08,-16.33,59.0,58,20,11.41,PT,1585693024
332,nyaunglebin,17.95,96.73,70.12,84,0,2.73,MM,1585693024
333,antalaha,-14.9,50.28,79.38,83,94,4.94,MG,1585693024
